#tp_osd_tp,ceph-osd,safe_timer,ms_dispatch,ms_local,rocksdb:low,io_context_pool,ceph_timer,fn_anonymous,bstore_aio,log,service,admin_socket,signal_handler,OpHistorySvc,rocksdb:high,cfin,bstore_kv_sync,bstore_kv_final,bstore_mempool,finisher,osd_srv_agent,osd_srv_heartbt
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
14.40,10.80,7.20,6.30,6.30,2.70,1.80,1.80,1.80,1.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
